,cut_date,minute,shots_off_target_1,shots_off_target_2,blocked_shots_1,blocked_shots_2,bi_ chances_1,bi_ chances_2,big_chances_missed_1,big_chances_missed_2,hit_woodwork_1,hit_woodwork_2,counter_attacks_1,counter_attacks_2,counter_attack_shots_1,counter_attack_shots_2,counter_attack_goals_1,counter_attack_goals_2,shots_inside_box_1,shots_inside_box_2,shots_outside_box_1,shots_outside_box_2,goalkeeper_saves_1,goalkeeper_saves_2,goals_prevented_1,goals_prevented_2,accurate_passes_1,accurate_passes_2,long_balls_1,long_balls_2,Crosses_1,Crosses_2,Dribbles_1,Dribbles_2,Possession_lost_1,Possession_lost_2,Duels_won_1,Duels_won_2,Aerials_won_1,Aerials_won_2,Clearances_1,Clearances_2
4949,2024-02-05 12:34:03,nan,3.0,8.0,5.0,5.0,4.0,3.0,1.0,2.0,1.0,1.0,,,,,,,11.0,14.0,2.0,4.0,4.0,2.0,,,155.0,639.0,13|64,27|81,4|13,3|16,7|8,16|32,176.0,200.0,72.0,58.0,28.0,22.0,12.0,11.0
4950,2024-02-05 12:34:05,nan,4.0,7.0,2.0,8.0,4.0,2.0,3.0,1.0,,,0.0,4.0,0.0,3.0,0.0,1.0,8.0,14.0,4.0,10.0,8.0,5.0,,,419.0,374.0,15|60,21|55,4|12,5|30,4|15,14|23,158.0,158.0,49.0,70.0,15.0,21.0,27.0,15.0
4951,2024-02-05 12:34:07,nan,5.0,3.0,10.0,0.0,4.0,1.0,2.0,1.0,,,1.0,1.0,1.0,1.0,,,14.0,2.0,8.0,2.0,1.0,3.0,,,628.0,334.0,22|50,24|61,3|19,1|6,11|15,9|12,141.0,120.0,33.0,41.0,6.0,11.0,4.0,21.0
4953,2024-02-05 12:34:10,nan,4.0,4.0,2.0,4.0,1.0,1.0,,,,,,,,,,,5.0,6.0,6.0,5.0,2.0,4.0,,,300.0,293.0,25|75,40|90,8|25,5|22,14|37,8|14,200.0,189.0,74.0,87.0,30.0,35.0,28.0,22.0
4954,2024-02-05 12:34:12,nan,5.0,5.0,4.0,6.0,1.0,2.0,0.0,1.0,0.0,1.0,,,,,,,12.0,9.0,3.0,5.0,1.0,4.0,,,449.0,175.0,37|74,25|69,8|33,5|20,13|21,7|21,159.0,159.0,72.0,57.0,27.0,23.0,30.0,26.0
4955,2024-02-05 12:34:14,nan,2.0,4.0,4.0,3.0,3.0,0.0,,,,,,,,,,,11.0,9.0,2.0,4.0,3.0,3.0,,,838.0,224.0,61|84,33|86,1|17,4|11,6|11,1|4,141.0,134.0,31.0,34.0,10.0,7.0,9.0,18.0
4956,2024-02-05 12:34:16,nan,6.0,6.0,7.0,1.0,1.0,0.0,1.0,0.0,,,,,,,,,9.0,4.0,7.0,3.0,0.0,2.0,,,653.0,126.0,24|47,8|40,5|26,2|10,7|11,2|10,157.0,138.0,53.0,35.0,22.0,15.0,12.0,37.0
4957,2024-02-05 12:34:18,nan,2.0,5.0,0.0,5.0,0.0,3.0,0.0,3.0,,,,,,,,,2.0,11.0,0.0,11.0,9.0,0.0,,,315.0,576.0,24|77,50|93,2|15,4|17,3|10,10|15,175.0,160.0,52.0,67.0,29.0,30.0,24.0,17.0
4958,2024-02-05 12:34:20,nan,2.0,4.0,3.0,1.0,1.0,2.0,1.0,1.0,,,0.0,3.0,0.0,3.0,,,6.0,6.0,3.0,4.0,3.0,4.0,,,456.0,296.0,40|76,20|55,2|20,4|14,5|10,3|8,165.0,136.0,42.0,45.0,14.0,20.0,22.0,35.0
4959,2024-02-05 12:34:22,nan,7.0,5.0,5.0,1.0,5.0,1.0,4.0,0.0,1.0,0.0,,,,,,,15.0,2.0,5.0,5.0,0.0,6.0,,,263.0,466.0,32|63,16|60,10|29,2|4,11|15,7|19,151.0,145.0,68.0,35.0,25.0,9.0,4.0,22.0
4960,2024-02-05 12:34:24,nan,2.0,3.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,,,,,,,2.0,9.0,6.0,1.0,3.0,4.0,,,316.0,370.0,30|67,38|75,1|13,7|20,3|14,16|26,180.0,183.0,52.0,82.0,19.0,26.0,13.0,21.0
4961,2024-02-05 12:34:25,nan,3.0,7.0,2.0,9.0,4.0,0.0,3.0,0.0,0.0,1.0,,,,,,,7.0,10.0,2.0,10.0,3.0,1.0,,,157.0,603.0,23|69,25|40,10|20,4|7,9|13,12|28,123.0,118.0,55.0,55.0,11.0,14.0,6.0,13.0
4962,2024-02-05 12:34:27,nan,7.0,6.0,1.0,2.0,1.0,3.0,1.0,3.0,0.0,1.0,3.0,1.0,2.0,1.0,1.0,0.0,9.0,8.0,4.0,7.0,7.0,4.0,,,323.0,334.0,30|96,42|94,3|13,1|9,8|16,6|13,215.0,213.0,79.0,65.0,40.0,33.0,21.0,10.0
4963,2024-02-05 12:34:29,nan,2.0,8.0,4.0,6.0,3.0,5.0,2.0,3.0,,,,,,,,,9.0,11.0,2.0,6.0,1.0,4.0,,,420.0,226.0,31|66,18|52,3|16,3|23,9|11,6|17,141.0,151.0,61.0,57.0,20.0,20.0,22.0,14.0
4964,2024-02-05 12:34:31,nan,8.0,4.0,8.0,1.0,1.0,5.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,,,14.0,6.0,6.0,5.0,1.0,4.0,,,394.0,253.0,49|90,19|57,8|27,0|7,12|26,6|15,182.0,153.0,58.0,71.0,21.0,14.0,9.0,27.0
